page_no,image_filename,page_kind,failure_type,attempts,last_error_message,source_zip,batch,created_at
59,named reactions_59.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:23:02Z
63,named reactions_63.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:28:47Z
65,named reactions_65.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:34:58Z
67,named reactions_67.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:41:09Z
72,named reactions_72.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:53:13Z
73,named reactions_73.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T08:57:11Z
79,named reactions_79.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:17:48Z
81,named reactions_81.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:24:25Z
83,named reactions_83.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:30:36Z
85,named reactions_85.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:32:33Z
86,named reactions_86.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:34:33Z
93,named reactions_93.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:51:23Z
96,named reactions_96.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T09:58:09Z
97,named reactions_97.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T10:01:11Z
98,named reactions_98.jpg,reaction_content,unknown,4,"unknown after 4 attempts: API 404: models/gemini-2.5-flash-preview-04-17 is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",named reactions.zip,full_batch1,2026-04-05T10:05:01Z
