case_id,expected_family,top1_family,top3_families,top3_scores,top5_families,hit_at_1,hit_at_3,hit_at_5,no_confident_hit,source_extract_id,source_kind,error
cov_acetoacetic_ester_synthesis_10,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,23.752 | 4.555 | 4.059,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Michael Addition Reaction,True,True,True,False,10,application_example,
cov_acetoacetic_ester_synthesis_16,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,23.752 | 4.555 | 4.059,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Michael Addition Reaction,True,True,True,False,16,application_example,
cov_acyloin_condensation_22,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction),12.435 | 5.011 | 4.885,Acyloin Condensation | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis | Acetoacetic Ester Synthesis,True,True,True,False,22,application_example,
cov_acyloin_condensation_25,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Acetoacetic Ester Synthesis | Claisen Condensation / Claisen Reaction,12.139 | 5.679 | 5.467,Acyloin Condensation | Acetoacetic Ester Synthesis | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis,True,True,True,False,25,application_example,
cov_alder_(ene)_reaction_(hydro-allyl_addition)_804,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination,3.213 | 1.949 | 1.113,Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination | Mannich Reaction | Pictet-Spengler Tetrahydroisoquinoline Synthesis,True,True,True,False,804,application_example,
cov_alder_(ene)_reaction_(hydro-allyl_addition)_805,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Prévost Reaction,3.31 | 1.538 | 1.169,Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Prévost Reaction | Mannich Reaction | Pictet-Spengler Tetrahydroisoquinoline Synthesis,True,True,True,False,805,application_example,
cov_aldol_reaction_1519,Aldol Reaction,Stetter Reaction,Stetter Reaction | Perkin Reaction | Keck Asymmetric Allylation,3.089 | 3.046 | 2.886,Stetter Reaction | Perkin Reaction | Keck Asymmetric Allylation | Henry Reaction | Horner-Wadsworth-Emmons Olefination,False,False,False,False,1519,application_example,
cov_aldol_reaction_1520,Aldol Reaction,Aldol Reaction,Aldol Reaction | Pinnick Oxidation | Retro-Claisen Reaction,2.854 | 2.133 | 1.903,Aldol Reaction | Pinnick Oxidation | Retro-Claisen Reaction | Wittig Reaction - Schlosser Modification | Claisen Condensation / Claisen Reaction,True,True,True,False,1520,application_example,
cov_alkene_(olefin)_metathesis_793,Alkene (Olefin) Metathesis,Heck Reaction,Heck Reaction | Horner-Wadsworth-Emmons Olefination | Alkene (Olefin) Metathesis,3.421 | 2.654 | 2.617,Heck Reaction | Horner-Wadsworth-Emmons Olefination | Alkene (Olefin) Metathesis | Perkin Reaction | Julia-Lythgoe Olefination,False,True,True,False,793,application_example,
cov_alkene_(olefin)_metathesis_794,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis | Brook Rearrangement | Meisenheimer Rearrangement,3.004 | 0.935 | 0.567,"Alkene (Olefin) Metathesis | Brook Rearrangement | Meisenheimer Rearrangement | Wittig-[1,2]- and [2,3]-Rearrangement | Fleming-Tamao Oxidation",True,True,True,False,794,application_example,
cov_alkyne_metathesis_1432,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction,2.518 | 1.648 | 0.99,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction | Larock Indole Synthesis | Gabriel Synthesis,True,True,True,False,1432,application_example,
cov_alkyne_metathesis_1433,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Aza-Wittig Reaction | Sandmeyer Reaction,2.7 | 1.797 | 1.767,Alkyne Metathesis | Aza-Wittig Reaction | Sandmeyer Reaction | Wittig Reaction | Nicholas Reaction,True,True,True,False,1433,application_example,
cov_amadori_reaction_/_rearrangement_806,Amadori Reaction / Rearrangement,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Swern Oxidation | Pinner Reaction,1.298 | 1.296 | 1.147,Arndt-Eistert Homologation / Synthesis | Swern Oxidation | Pinner Reaction | Friedel-Crafts Acylation | Sharpless Asymmetric Aminohydroxylation,False,False,False,False,806,application_example,
cov_amadori_reaction_/_rearrangement_807,Amadori Reaction / Rearrangement,Koenigs-Knorr Glycosidation,Koenigs-Knorr Glycosidation | Friedel-Crafts Acylation | Payne Rearrangement,0.674 | 0.451 | 0.42,Koenigs-Knorr Glycosidation | Friedel-Crafts Acylation | Payne Rearrangement | Smiles Rearrangement | Petasis Boronic Acid-Mannich Reaction,False,False,False,False,807,application_example,
cov_arbuzov_reaction_(michaelis-arbuzov_reaction)_57,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis,1.705 | 0.215 | 0.17,Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis | Dakin Oxidation | Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,True,True,True,False,57,application_example,
cov_arbuzov_reaction_(michaelis-arbuzov_reaction)_808,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Horner-Wadsworth-Emmons Olefination | Malonic Ester Synthesis,5.566 | 2.349 | 2.098,Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Horner-Wadsworth-Emmons Olefination | Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction),True,True,True,False,808,application_example,
cov_arndt-eistert_homologation_/_synthesis_62,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation,6.781 | 0.784 | 0.077,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation,True,True,True,False,62,application_example,
cov_arndt-eistert_homologation_/_synthesis_1487,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Pfitzner-Moffatt Oxidation | Horner-Wadsworth-Emmons Olefination,2.567 | 1.445 | 1.122,Arndt-Eistert Homologation / Synthesis | Pfitzner-Moffatt Oxidation | Horner-Wadsworth-Emmons Olefination | Pinnick Oxidation | Favorskii Rearrangement,True,True,True,False,1487,application_example,
cov_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_335,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement,1.164 | 0.5 | 0.36,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement | Keck Radical Allylation | Vinylcyclopropane-Cyclopentene Rearrangement,True,True,True,False,335,application_example,
cov_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_337,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),"Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Aza-[2,3]-Wittig Rearrangement | Tsuji-Trost Reaction / Allylation",1.052 | 0.275 | 0.076,"Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Aza-[2,3]-Wittig Rearrangement | Tsuji-Trost Reaction / Allylation",True,True,True,False,337,application_example,
cov_aza-cope_rearrangement_74,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement,3.402 | 1.777 | 1.429,Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement | Keck Asymmetric Allylation | Sakurai Allylation,True,True,True,False,74,application_example,
cov_aza-cope_rearrangement_1447,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Sakurai Allylation | Meisenheimer Rearrangement,2.787 | 1.32 | 0.852,Aza-Cope Rearrangement | Sakurai Allylation | Meisenheimer Rearrangement | Hofmann Elimination | Cope Rearrangement,True,True,True,False,1447,application_example,
cov_aza-wittig_reaction_1501,Aza-Wittig Reaction,Aza-Wittig Reaction,Aza-Wittig Reaction | Wittig Reaction - Schlosser Modification | Evans Aldol Reaction,1.911 | 1.089 | 0.823,Aza-Wittig Reaction | Wittig Reaction - Schlosser Modification | Evans Aldol Reaction | Roush Asymmetric Allylation | Pinnick Oxidation,True,True,True,False,1501,application_example,
cov_aza-wittig_reaction_1502,Aza-Wittig Reaction,Wittig Reaction,Wittig Reaction | Aza-Wittig Reaction | Julia-Lythgoe Olefination,2.682 | 2.591 | 2.061,Wittig Reaction | Aza-Wittig Reaction | Julia-Lythgoe Olefination | Horner-Wadsworth-Emmons Olefination | Corey-Fuchs Alkyne Synthesis,False,True,True,False,1502,application_example,
"cov_aza-[2,3]-wittig_rearrangement_1459","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition)",1.839 | 1.249 | 1.056,"Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition) | Wittig-[1,2]- and [2,3]-Rearrangement | Sakurai Allylation",True,True,True,False,1459,application_example,
"cov_aza-[2,3]-wittig_rearrangement_1460","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Meisenheimer Rearrangement | Stevens Rearrangement",2.508 | 1.434 | 1.416,"Aza-[2,3]-Wittig Rearrangement | Meisenheimer Rearrangement | Stevens Rearrangement | Sakurai Allylation | Aza-Cope Rearrangement",True,True,True,False,1460,application_example,
cov_baeyer-villiger_oxidation_1468,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation,5.573 | 3.443 | 3.112,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Corey-Nicolaou Macrolactonization,False,True,True,False,1468,application_example,
cov_baeyer-villiger_oxidation_1469,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation | Tsuji-Trost Reaction / Allylation | Weinreb Ketone Synthesis,2.981 | 1.518 | 1.368,Baeyer-Villiger Oxidation | Tsuji-Trost Reaction / Allylation | Weinreb Ketone Synthesis | Enders SAMP/RAMP Hydrazone Alkylation | Pummerer Rearrangement,True,True,True,False,1469,application_example,
cov_baeyer-villiger_oxidation/rearrangement_812,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction,3.487 | 3.118 | 3.004,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction | Noyori Asymmetric Hydrogenation | Wolff-Kishner Reduction,True,True,True,False,812,application_example,
cov_baeyer-villiger_oxidation/rearrangement_813,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation,3.395 | 1.758 | 1.607,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation | Corey-Nicolaou Macrolactonization | Keck Macrolactonization,True,True,True,False,813,application_example,
cov_baker-venkataraman_rearrangement_344,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation,1.607 | 0.82 | 0.819,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation | Hofmann Rearrangement | Lieben Haloform Reaction,True,True,True,False,344,application_example,
cov_baker-venkataraman_rearrangement_345,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Stille-Kelly Coupling | von Pechmann Reaction,0.751 | 0.748 | 0.37,Baker-Venkataraman Rearrangement | Stille-Kelly Coupling | von Pechmann Reaction | Dakin Oxidation | Kolbe-Schmitt Reaction,True,True,True,False,345,application_example,
cov_baldwin's_rules_/_guidelines_for_ring-closing_reactions_970,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization,1.686 | 0.883 | 0.359,Acetoacetic Ester Synthesis | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization | Keck Macrolactonization | Yamaguchi Macrolactonization,False,True,True,False,970,application_example,
cov_baldwin's_rules_/_guidelines_for_ring-closing_reactions_980,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization,1.686 | 1.056 | 0.513,Acetoacetic Ester Synthesis | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization | Keck Macrolactonization | Yamaguchi Macrolactonization,False,True,True,False,980,application_example,
cov_balz-schiemann_reaction_(schiemann_reaction)_351,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),1.052,Balz-Schiemann Reaction (Schiemann Reaction),True,True,True,False,351,application_example,
