case_id,source_extract_id,expected_family,top1_family,top3_families,top3_scores,top1_correct,top3_correct,acceptance_override_used,disallow_violated,no_confident_hit,query_type,adversarial_type,query_reaction_types_ko,pruned_mismatch_count,notes
broad_acetoacetic_ester_synthesis_10,10,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,23.752 | 4.555 | 4.059,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_acyloin_condensation_22,22,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Claisen Condensation / Claisen Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction),12.435 | 5.011 | 4.885,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alder_(ene)_reaction_(hydro-allyl_addition)_804,804,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination,3.213 | 1.949 | 1.113,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aldol_reaction_1519,1519,Aldol Reaction,Stetter Reaction,Stetter Reaction | Perkin Reaction | Keck Asymmetric Allylation,3.089 | 3.046 | 2.886,False,False,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alkene_(olefin)_metathesis_793,793,Alkene (Olefin) Metathesis,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination | Alkene (Olefin) Metathesis | Perkin Reaction,2.654 | 2.617 | 2.534,False,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alkyne_metathesis_1432,1432,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction,2.518 | 1.648 | 0.99,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_amadori_reaction_/_rearrangement_806,806,Amadori Reaction / Rearrangement,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Swern Oxidation | Pinner Reaction,1.298 | 1.296 | 1.147,False,False,False,,False,reaction,,산화 | 당/다가산소 재배열,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_arbuzov_reaction_(michaelis-arbuzov_reaction)_57,57,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis,1.705 | 0.215 | 0.17,True,True,False,,False,reaction,,커플링 | 탈산소화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_arndt-eistert_homologation_/_synthesis_62,62,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation,6.781 | 0.784 | 0.077,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_335,335,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement,1.164 | 0.5 | 0.36,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-cope_rearrangement_74,74,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement,3.402 | 1.777 | 1.429,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-wittig_reaction_450,450,Aza-Wittig Reaction,Aza-Wittig Reaction,Aza-Wittig Reaction | Wittig Reaction | Julia-Lythgoe Olefination,5.814 | 4.545 | 2.615,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
"broad_aza-[2,3]-wittig_rearrangement_1459",1459,"Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition)",1.839 | 1.249 | 1.056,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baeyer-villiger_oxidation/rearrangement_812,812,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction,3.487 | 3.118 | 3.004,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baker-venkataraman_rearrangement_344,344,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation,1.607 | 0.82 | 0.819,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baldwin's_rules_/_guidelines_for_ring-closing_reactions_970,970,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization,1.686 | 0.883 | 0.359,False,True,False,,False,reaction,,탈산소화,2,Phase 2 broad benchmark — representative reaction per rich family.
broad_balz-schiemann_reaction_(schiemann_reaction)_351,351,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),1.052,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bamford-stevens-shapiro_olefination_1531,1531,Bamford-Stevens-Shapiro Olefination,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Paal-Knorr Furan Synthesis | Wacker Oxidation,1.295 | 1.053 | 0.979,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_barbier_coupling_reaction_461,461,Barbier Coupling Reaction,Sakurai Allylation,Sakurai Allylation | Barbier Coupling Reaction | Acetoacetic Ester Synthesis,3.541 | 1.74 | 1.432,False,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bartoli_indole_synthesis_413,413,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis,1.224 | 0.608 | 0.554,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_barton_nitrite_ester_reaction_1480,1480,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction | Kulinovich Reaction | Pinacol and Semipinacol Rearrangement,0.388 | 0.293 | 0.251,True,True,False,,True,reaction,,탈산소화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_barton_radical_decarboxylation_reaction_357,357,Barton Radical Decarboxylation Reaction,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Danheiser Benzannulation | Paal-Knorr Furan Synthesis,0.354 | 0.31 | 0.287,False,False,False,,True,reaction,,산화 | ester/lactone 삽입형 산화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_barton-mccombie_radical_deoxygenation_reaction_796,796,Barton-McCombie Radical Deoxygenation Reaction,Paternò-Büchi Reaction,Paternò-Büchi Reaction | Baker-Venkataraman Rearrangement | Barton-McCombie Radical Deoxygenation Reaction,0.831 | 0.413 | 0.049,False,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baylis-hillman_reaction_1411,1411,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Stetter Reaction | Keck Asymmetric Allylation,3.167 | 2.833 | 2.601,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_beckmann_rearrangement_1435,1435,Beckmann Rearrangement,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement,1.469 | 1.401 | 1.143,False,False,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_benzilic_acid_rearrangement_401,401,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Claisen Condensation / Claisen Reaction | Baylis-Hillman Reaction,2.422 | 1.01 | 0.965,True,True,False,,False,reaction,,환원,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_benzoin_and_retro-benzoin_condensation_157,157,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation | Aza-Wittig Reaction | Claisen Condensation / Claisen Reaction,9.249 | 5.791 | 4.995,True,True,False,,False,reaction,,커플링 | 탈산소화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bergman_cycloaromatization_reaction_1438,1438,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Tsuji-Wilkinson Decarbonylation Reaction | Balz-Schiemann Reaction (Schiemann Reaction),1.835 | 0.892 | 0.577,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_biginelli_reaction_1441,1441,Biginelli Reaction,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination | Acetoacetic Ester Synthesis | Perkin Reaction,3.729 | 2.198 | 2.066,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_birch_reduction_1414,1414,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation,1.736 | 1.36 | 1.31,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bischler-napieralski_isoquinoline_synthesis_194,194,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation,3.049 | 0.493 | 0.433,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_brook_rearrangement_416,416,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation,2.104 | 0.535 | 0.522,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_brown_hydroboration_reaction_1444,1444,Brown Hydroboration Reaction,Brown Hydroboration Reaction,Brown Hydroboration Reaction | Wacker Oxidation | Tsuji-Wilkinson Decarbonylation Reaction,2.157 | 1.303 | 1.239,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
