canonical,admission_loss_count,completion_bucket,rich_pass,extract_count,overview_count,application_count,mechanism_count,queryable_R,queryable_P,unique_pair_count,molecule_rows,collision_prone,raw_names
Hantzsch Dihydropyridine Synthesis,1,rich,True,3,1,2,0,9,3,3,14,False,Hantzsch Dihydropyridine Synthesis
Feist-Bénary Furan Synthesis,1,rich,True,3,1,2,0,6,3,3,11,False,Feist-Bénary Furan Synthesis
Knoevenagel Condensation,1,rich,True,3,1,2,0,6,3,3,11,False,Knoevenagel Condensation
Charette Asymmetric Cyclopropanation,1,rich,True,3,1,2,0,5,3,3,9,False,Charette Asymmetric Cyclopropanation
Kumada Cross-Coupling,1,rich,True,3,1,2,0,4,3,3,8,False,Kumada Cross-Coupling
Criegee Oxidation,1,rich,True,3,1,2,0,3,3,3,8,False,Criegee Oxidation
Curtius Rearrangement,1,rich,True,3,1,2,0,3,3,3,9,False,Curtius Rearrangement
Dakin-West Reaction,1,rich,True,3,1,2,0,3,3,3,9,False,Dakin-West Reaction
Davis' Oxaziridine Oxidations,1,rich,True,3,1,2,0,3,3,3,9,False,Davis' Oxaziridine Oxidations
Dess-Martin Oxidation,1,rich,True,3,1,2,0,3,3,3,8,False,Dess-Martin Oxidation
Enyne Metathesis,1,rich,True,3,1,2,0,3,3,3,6,False,Enyne Metathesis
Hunsdiecker Reaction,1,rich,True,3,1,2,0,3,3,3,7,False,Hunsdiecker Reaction
Jacobsen-Katsuki Epoxidation,1,rich,True,3,1,2,0,3,3,3,7,False,Jacobsen-Katsuki Epoxidation
Reformatsky Reaction,1,rich,True,4,1,3,0,5,4,3,10,False,Reformatsky Reaction
Meerwein-Ponndorf-Verley Reduction,1,rich,True,4,1,3,0,4,4,3,10,False,Meerwein-Ponndorf-Verley Reduction
Seyferth-Gilbert Homologation,1,rich,True,4,1,3,0,4,4,3,10,False,Seyferth-Gilbert Homologation
Ullmann Reaction / Coupling / Biaryl Synthesis,1,rich,True,4,1,3,0,4,4,3,9,False,Ullmann Reaction / Coupling / Biaryl Synthesis
Yamaguchi Macrolactonization,1,rich,True,4,1,3,0,4,4,3,10,False,Yamaguchi Macrolactonization
Amadori Reaction / Rearrangement,1,rich,True,6,1,4,0,3,3,3,32,False,Amadori Reaction / Rearrangement|Amadori Rearrangement
Biginelli Reaction,1,rich,True,7,2,3,0,3,3,3,39,False,Biginelli Reaction
Chugaev Elimination Reaction (Xanthate Ester Pyrolysis),1,rich,True,14,3,10,0,3,4,3,45,False,Chugaev Elimination Reaction|Chugaev Elimination Reaction (Xanthate Ester Pyrolysis)
De Mayo Cycloaddition,1,rich,True,4,2,2,0,8,4,4,14,False,De Mayo Cycloaddition|De Mayo Cycloaddition (Enone-Alkene [2+2] Photocycloaddition)
Ugi Multicomponent Reaction,1,rich,True,4,1,3,0,7,4,4,11,False,Ugi Multicomponent Reaction
Horner-Wadsworth-Emmons Olefination – Still-Gennari Modification,1,rich,True,4,2,2,0,6,4,4,15,False,Horner-Wadsworth-Emmons Olefination – Still-Gennari Modification|Still-Gennari Modification
Passerini Multicomponent Reaction,1,rich,True,4,1,3,0,6,4,4,10,False,Passerini Multicomponent Reaction
Petasis Boronic Acid-Mannich Reaction,1,rich,True,4,1,3,0,6,4,4,10,False,Petasis Boronic Acid-Mannich Reaction
Larock Indole Synthesis,1,rich,True,4,1,3,0,5,4,4,12,False,Larock Indole Synthesis
Michael Addition Reaction,1,rich,True,4,1,3,0,5,4,4,10,False,Michael Addition Reaction
Minisci Reaction,1,rich,True,4,1,3,0,5,4,4,13,False,Minisci Reaction
Mitsunobu Reaction,1,rich,True,4,1,3,0,5,4,4,11,False,Mitsunobu Reaction
Miyaura Boration,1,rich,True,4,1,3,0,5,4,4,10,False,Miyaura Boration
Mukaiyama Aldol Reaction,1,rich,True,4,1,3,0,5,4,4,10,False,Mukaiyama Aldol Reaction
