case_id,source_extract_id,expected_family,top1_family,top3_families,top3_scores,top1_correct,top3_correct,acceptance_override_used,disallow_violated,no_confident_hit,query_type,adversarial_type,query_reaction_types_ko,pruned_mismatch_count,notes
broad_acetoacetic_ester_synthesis_10,10,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,23.752 | 4.555 | 4.059,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_acyloin_condensation_22,22,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis,12.435 | 4.885 | 4.74,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alder_(ene)_reaction_(hydro-allyl_addition)_804,804,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination,3.213 | 1.949 | 1.113,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aldol_reaction_1519,1519,Aldol Reaction,Stetter Reaction,Stetter Reaction | Grignard Reaction | Aldol Reaction,3.089 | 2.599 | 2.401,False,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alkene_(olefin)_metathesis_793,793,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis | Corey-Winter Olefination | Pinnick Oxidation,2.617 | 1.851 | 1.766,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_alkyne_metathesis_1432,1432,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction,2.518 | 1.648 | 0.99,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_amadori_reaction_/_rearrangement_806,806,Amadori Reaction / Rearrangement,Pinner Reaction,Pinner Reaction | Friedel-Crafts Acylation | Sharpless Asymmetric Aminohydroxylation,1.147 | 1.065 | 0.913,False,False,False,,False,reaction,,산화 | 당/다가산소 재배열,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_arbuzov_reaction_(michaelis-arbuzov_reaction)_57,57,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis,1.705 | 0.212 | 0.17,True,True,False,,False,reaction,,커플링 | 탈산소화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_arndt-eistert_homologation_/_synthesis_62,62,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation,6.781 | 0.784 | 0.077,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_335,335,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement,1.164 | 0.5 | 0.36,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-cope_rearrangement_74,74,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement,3.402 | 1.777 | 1.429,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_aza-wittig_reaction_450,450,Aza-Wittig Reaction,Aza-Wittig Reaction,Aza-Wittig Reaction | Sandmeyer Reaction | Stetter Reaction,6.686 | 2.245 | 2.218,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
"broad_aza-[2,3]-wittig_rearrangement_1459",1459,"Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition)",1.839 | 1.249 | 1.056,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baeyer-villiger_oxidation/rearrangement_812,812,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction,3.487 | 3.118 | 3.004,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baker-venkataraman_rearrangement_344,344,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation,1.607 | 0.82 | 0.819,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baldwin's_rules_/_guidelines_for_ring-closing_reactions_970,970,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions | Acetoacetic Ester Synthesis | Corey-Nicolaou Macrolactonization,0.883 | 0.421 | 0.359,True,True,False,,False,reaction,,탈산소화,2,Phase 2 broad benchmark — representative reaction per rich family.
broad_balz-schiemann_reaction_(schiemann_reaction)_351,351,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),1.052,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bamford-stevens-shapiro_olefination_1531,1531,Bamford-Stevens-Shapiro Olefination,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Wacker Oxidation | Enders SAMP/RAMP Hydrazone Alkylation,1.295 | 0.979 | 0.962,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_barbier_coupling_reaction_461,461,Barbier Coupling Reaction,Barbier Coupling Reaction,Barbier Coupling Reaction | Aza-Cope Rearrangement | Schmidt Reaction,1.74 | 1.208 | 1.165,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bartoli_indole_synthesis_413,413,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis,1.224 | 0.608 | 0.554,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
