case_id,direction,expected_family,before_pass,after_pass,before_top1,after_top1,before_top3,after_top3,source_kind,attributed_guards,confidence,reason
cov_alkyne_metathesis_1433,no_change,Alkyne Metathesis,True,True,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Sandmeyer Reaction | Nicholas Reaction,Alkyne Metathesis | Nicholas Reaction | Corey-Winter Olefination,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_aza-cope_rearrangement_1447,no_change,Aza-Cope Rearrangement,True,True,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Meisenheimer Rearrangement | Hofmann Elimination,Aza-Cope Rearrangement | Meisenheimer Rearrangement | Cope Rearrangement,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_balz-schiemann_reaction_(schiemann_reaction)_814,no_change,Balz-Schiemann Reaction (Schiemann Reaction),True,True,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction) | Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation,Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction | Friedel-Crafts Alkylation,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_bergman_cycloaromatization_reaction_1438,no_change,Bergman Cycloaromatization Reaction,True,True,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction,Bergman Cycloaromatization Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Corey-Winter Olefination,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_biginelli_reaction_1441,top1_shifted_no_flag_change,Biginelli Reaction,False,False,Acetoacetic Ester Synthesis,Darzens Glycidic Ester Condensation,Acetoacetic Ester Synthesis | Darzens Glycidic Ester Condensation | Knoevenagel Condensation,Darzens Glycidic Ester Condensation | Knoevenagel Condensation | Retro-Claisen Reaction,application_example,G04_acetoacetic_ester;G07_biginelli,ambiguous,2 guards matched — manual triage needed
cov_biginelli_reaction_1442,top1_shifted_no_flag_change,Biginelli Reaction,False,False,Acetoacetic Ester Synthesis,Malonic Ester Synthesis,Acetoacetic Ester Synthesis | Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction,Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction | Knorr Pyrrole Synthesis,application_example,G04_acetoacetic_ester;G07_biginelli,ambiguous,2 guards matched — manual triage needed
cov_combes_quinoline_synthesis_828,no_change,Combes Quinoline Synthesis,True,True,Combes Quinoline Synthesis,Combes Quinoline Synthesis,Combes Quinoline Synthesis | Benzoin and Retro-Benzoin Condensation | von Pechmann Reaction,Combes Quinoline Synthesis | Benzoin and Retro-Benzoin Condensation | Knorr Pyrrole Synthesis,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_cope_elimination_/_cope_reaction_835,gained,Cope Elimination / Cope Reaction,False,True,Kornblum Oxidation,Cope Elimination / Cope Reaction,Kornblum Oxidation | Tebbe Olefination/Petasis-Tebbe Olefination | Ramberg-Bäcklund Rearrangement,Cope Elimination / Cope Reaction | Kornblum Oxidation | Tebbe Olefination/Petasis-Tebbe Olefination,application_example,G01_cope_elimination,high,single guard match (G01_cope_elimination); expected_dir=gain_cope_from_hofmann; observed=gained
cov_cope_elimination_/_cope_reaction_836,gained,Cope Elimination / Cope Reaction,False,True,Hofmann Elimination,Cope Elimination / Cope Reaction,Hofmann Elimination | Ring-Closing Metathesis | Alkene (Olefin) Metathesis,Cope Elimination / Cope Reaction | Ring-Closing Metathesis | Alkene (Olefin) Metathesis,application_example,G01_cope_elimination;G02_hofmann_elimination,ambiguous,2 guards matched — manual triage needed
cov_davis'_oxaziridine_oxidations_863,top1_shifted_no_flag_change,Davis' Oxaziridine Oxidations,False,False,Sandmeyer Reaction,Clemmensen Reduction,Sandmeyer Reaction | Clemmensen Reduction | Dess-Martin Oxidation,Clemmensen Reduction | Dess-Martin Oxidation | Balz-Schiemann Reaction (Schiemann Reaction),application_example,G09_sandmeyer,high,single guard match (G09_sandmeyer); expected_dir=gain_sandmeyer_where_diazonium; observed=top1_shifted_no_flag_change
