case_id,expected_family,top1_family,top3_families,top3_scores,top5_families,hit_at_1,hit_at_3,hit_at_5,no_confident_hit,source_extract_id,source_kind,error
cov_acetoacetic_ester_synthesis_10,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,9.5 | 4.555 | 4.059,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Michael Addition Reaction | Krapcho Dealkoxycarbonylation (Krapcho Reaction),True,True,True,False,10,application_example,
cov_acetoacetic_ester_synthesis_16,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,9.5 | 4.555 | 4.059,Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Baldwin's Rules / Guidelines for Ring-Closing Reactions | Michael Addition Reaction,True,True,True,False,16,application_example,
cov_acyloin_condensation_22,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis,12.435 | 4.885 | 4.74,Acyloin Condensation | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis | Acetoacetic Ester Synthesis | Regitz Diazo Transfer,True,True,True,False,22,application_example,
cov_acyloin_condensation_25,Acyloin Condensation,Acyloin Condensation,Acyloin Condensation | Acetoacetic Ester Synthesis | Krapcho Dealkoxycarbonylation (Krapcho Reaction),12.139 | 5.679 | 4.77,Acyloin Condensation | Acetoacetic Ester Synthesis | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Malonic Ester Synthesis | Regitz Diazo Transfer,True,True,True,False,25,application_example,
cov_alder_(ene)_reaction_(hydro-allyl_addition)_804,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination,3.213 | 1.949 | 1.113,Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Wohl-Ziegler Bromination | Mannich Reaction | Pictet-Spengler Tetrahydroisoquinoline Synthesis,True,True,True,False,804,application_example,
cov_alder_(ene)_reaction_(hydro-allyl_addition)_805,Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition),Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Prévost Reaction,3.31 | 1.538 | 1.169,Alder (Ene) Reaction (Hydro-Allyl Addition) | Hetero Diels-Alder Cycloaddition (HDA) | Prévost Reaction | Mannich Reaction | Pictet-Spengler Tetrahydroisoquinoline Synthesis,True,True,True,False,805,application_example,
cov_aldol_reaction_1519,Aldol Reaction,Stetter Reaction,Stetter Reaction | Grignard Reaction | Aldol Reaction,3.089 | 2.599 | 2.401,Stetter Reaction | Grignard Reaction | Aldol Reaction | Noyori Asymmetric Hydrogenation | Benzoin and Retro-Benzoin Condensation,False,True,True,False,1519,application_example,
cov_aldol_reaction_1520,Aldol Reaction,Aldol Reaction,Aldol Reaction | Pinnick Oxidation | Lieben Haloform Reaction,2.854 | 2.133 | 1.613,Aldol Reaction | Pinnick Oxidation | Lieben Haloform Reaction | Enders SAMP/RAMP Hydrazone Alkylation | Meerwein-Ponndorf-Verley Reduction,True,True,True,False,1520,application_example,
cov_alkene_(olefin)_metathesis_793,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis | Corey-Winter Olefination | Pinnick Oxidation,2.617 | 1.851 | 1.766,Alkene (Olefin) Metathesis | Corey-Winter Olefination | Pinnick Oxidation | Wacker Oxidation | Charette Asymmetric Cyclopropanation,True,True,True,False,793,application_example,
cov_alkene_(olefin)_metathesis_794,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis,Alkene (Olefin) Metathesis | Brook Rearrangement | Meisenheimer Rearrangement,3.004 | 0.935 | 0.567,"Alkene (Olefin) Metathesis | Brook Rearrangement | Meisenheimer Rearrangement | Wittig-[1,2]- and [2,3]-Rearrangement | Fleming-Tamao Oxidation",True,True,True,False,794,application_example,
