source_zip,page_no,image_filename,status,error
named reactions.zip,63,named reactions_63.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,72,named reactions_72.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,85,named reactions_85.jpg,fail,primary_only_retry_failed after 3 attempts: This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.
named reactions.zip,93,named reactions_93.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,103,named reactions_103.jpg,fail,"primary_only_retry_failed after 3 attempts: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Read timed out. (read timeout=120)"
named reactions.zip,105,named reactions_105.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,117,named reactions_117.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,120,named reactions_120.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,121,named reactions_121.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,125,named reactions_125.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,139,named reactions_139.jpg,fail,primary_only_retry_failed after 3 attempts: RECITATION
named reactions.zip,143,named reactions_143.jpg,fail,primary_only_retry_failed after 3 attempts: This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.
named reactions.zip,145,named reactions_145.jpg,fail,primary_only_retry_failed after 3 attempts: This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.
