source_zip,page_no,image_filename,status,schemes_before,extracts_before,schemes_after,extracts_after,error
named reactions.zip,59,named reactions_59.jpg,ok,1,1,4,4,
named reactions.zip,65,named reactions_65.jpg,ok,1,1,3,3,
named reactions.zip,67,named reactions_67.jpg,ok,1,1,2,2,
named reactions.zip,73,named reactions_73.jpg,ok,1,1,3,3,
named reactions.zip,79,named reactions_79.jpg,ok,1,1,1,1,
named reactions.zip,81,named reactions_81.jpg,ok,1,1,5,5,
named reactions.zip,83,named reactions_83.jpg,ok,1,1,4,4,
named reactions.zip,86,named reactions_86.jpg,ok,1,1,4,4,
named reactions.zip,96,named reactions_96.jpg,ok,1,1,4,4,
named reactions.zip,97,named reactions_97.jpg,ok,1,1,2,2,
named reactions.zip,98,named reactions_98.jpg,ok,1,1,4,4,
named reactions.zip,110,named reactions_110.jpg,ok,1,1,3,3,
named reactions.zip,118,named reactions_118.jpg,ok,1,1,3,3,
named reactions.zip,123,named reactions_123.jpg,ok,1,1,4,4,
named reactions.zip,124,named reactions_124.jpg,ok,1,1,6,6,
named reactions.zip,131,named reactions_131.jpg,ok,1,1,5,5,
named reactions.zip,133,named reactions_133.jpg,ok,1,1,4,4,
named reactions.zip,141,named reactions_141.jpg,ok,1,1,3,3,
named reactions.zip,142,named reactions_142.jpg,ok,1,1,4,4,
named reactions.zip,144,named reactions_144.jpg,ok,3,3,3,3,
