source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch3,xxxiv,34,V. List of Abbreviations (MPPC to NADPH),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering MPPC to NADPH, including mesyl derivatives, MTAD, MVK, and the biomolecule NADPH.",,,Alias-normalization seed page.,named reactions_34.jpg
named_reactions_frontmatter_batch3,xxxv,35,V. List of Abbreviations (NaHMDS to Nos),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering NaHMDS to Nos, including NBS, NCS, NIS, NMO, NORPHOS, and sulfonyl abbreviations.",,,Alias-normalization seed page.,named reactions_35.jpg
named_reactions_frontmatter_batch3,xxxvi,36,V. List of Abbreviations (NPM to phen),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering NPM to phen, including Oxone, PCC, PDC, phenyl/phthalazine abbreviations, and several general reaction notations.",,,Alias-normalization seed page.,named reactions_36.jpg
named_reactions_frontmatter_batch3,xxxvii,37,V. List of Abbreviations (Phth to PPSE),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering Phth to PPSE, including PIFA, PMB/MPM, PNZ, PPA, PPO, and phosphoric-acid derivatives.",,,Alias-normalization seed page.,named reactions_37.jpg
named_reactions_frontmatter_batch3,xxxviii,38,V. List of Abbreviations (PPTS to ROMP),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering PPTS to ROMP, including PTSA, Raney nickel, Rose Bengal, and explicit metathesis family abbreviations RCAM, RCM, ROM, and ROMP.",Ring-Closing Alkyne Metathesis|Ring-Closing Metathesis|Ring-Opening Metathesis|Ring-Opening Metathesis Polymerization,,Alias-normalization seed page with explicit named-reaction abbreviations.,named reactions_38.jpg
named_reactions_frontmatter_batch3,xxxix,39,V. List of Abbreviations (Rose Bengal to SPB),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering Rose Bengal to SPB, including Salen, salophen, SAMP, SEM/SES, SET, and perborate abbreviations.",,,Alias-normalization seed page.,named reactions_39.jpg
named_reactions_frontmatter_batch3,xl,40,V. List of Abbreviations (TADDOL to TBTSP),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering TADDOL to TBTSP, including common tetrabutylammonium salts, silyl protecting groups, TBHP, and tributyltin hydride.",,,Alias-normalization seed page.,named reactions_40.jpg
named_reactions_frontmatter_batch3,xli,41,V. List of Abbreviations (TCCA to Tfa),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering TCCA to Tfa, including TEMPO, TCCA, TCNE, TCNQ, TEA, TFA, and triethylsilyl-related abbreviations.",,,Alias-normalization seed page.,named reactions_41.jpg
named_reactions_frontmatter_batch3,xlii,42,V. List of Abbreviations (TFAA to TMGA),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering TFAA to TMGA, including THF, THP, TIPS, TMEDA, TMAO, and triflic-acid related abbreviations.",,,Alias-normalization seed page.,named reactions_42.jpg
named_reactions_frontmatter_batch3,xliii,43,V. List of Abbreviations (Tmob to TPP),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering Tmob to TPP, including TMSA, TMSEE, TPAP, triphenylphosphine, and tolbinap.",,,Alias-normalization seed page.,named reactions_43.jpg
