page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p294,294,MITSUNOBU REACTION,Importance; Mechanism,canonical_overview,Mitsunobu Reaction,Mitsunobu Reaction|Mitsunobu reaction,Overview page for the Mitsunobu reaction describing inversion-based substitution of alcohols using phosphine/azodicarboxylate reagents and diverse nucleophiles.,"Key concepts: activation of secondary alcohols by phosphine and dialkyl azodicarboxylates, inversion of configuration, broad oxygen/nitrogen/sulfur/carbon nucleophile scope, and mechanistic participation of zwitterionic phosphonium intermediates.",named reactions_346.jpg
p295,295,MITSUNOBU REACTION,Synthetic Applications,application_example,Mitsunobu Reaction,Mitsunobu Reaction|Mitsunobu reaction,"Application page for the Mitsunobu reaction featuring (+)-zampanolide, ent-WIN 64821, (+)-duocarmycin A, and (+)-fascicularin assembled through inversion-enabled alcohol substitution or carbon-bond-forming Mitsunobu variants.","Examples emphasize selective inversion of secondary alcohols, azide introduction, unusual transannular or carbon-bond-forming Mitsunobu cases, and late-stage deployment in complex natural-product synthesis.",named reactions_347.jpg
p296,296,MIYAURA BORATION,Importance; Mechanism,canonical_overview,Miyaura Boration,Miyaura Boration|Miyaura boration,Overview page for Miyaura boration describing palladium-catalyzed conversion of aryl or vinyl halides and triflates into boronic esters using bis(pinacolato)diboron or tetraalkoxydiborons.,"Key concepts: Pd-catalyzed borylation of aryl/vinyl electrophiles, use of B2pin2 or related diborons, importance of acetate base, compatibility with cross-coupling workflows, and catalytic-cycle steps of oxidative addition, transmetalation, and reductive elimination.",named reactions_348.jpg
p297,297,MIYAURA BORATION,Synthetic Applications,application_example,Miyaura Boration,Miyaura Boration|Miyaura boration,"Application page for Miyaura boration featuring TMC-95A, a biaryl-containing macrocycle, (+)-spiroxin C, and terbenzimidazole prepared via late-stage installation of boronic ester partners for Suzuki coupling.","Examples emphasize preparation of arylboronic esters for peptide and macrocycle assembly, domino boration/Suzuki sequences, and iterative use of Miyaura boration to access medicinally relevant heterobiaryls.",named reactions_349.jpg
p298,298,MUKAIYAMA ALDOL REACTION,Importance; Mechanism,canonical_overview,Mukaiyama Aldol Reaction,Mukaiyama Aldol Reaction|Mukaiyama aldol reaction,Overview page for the Mukaiyama aldol reaction describing Lewis-acid-promoted addition of silyl enol ethers to aldehydes or ketones to form beta-hydroxy carbonyl compounds.,"Key concepts: preformed enol-silane nucleophiles, Lewis acid activation of carbonyl electrophiles, anti/syn stereochemical models, catalytic asymmetric variants, and broad use in fragment coupling for polyketide synthesis.",named reactions_350.jpg
p299,299,MUKAIYAMA ALDOL REACTION,Synthetic Applications,application_example,Mukaiyama Aldol Reaction,Mukaiyama Aldol Reaction|Mukaiyama aldol reaction,"Application page for the Mukaiyama aldol reaction featuring rutamycin B, sphingofungin B, and roflamycoin synthesized through stereocontrolled aldehyde/enol-silane couplings.","Examples emphasize anti-selective and asymmetric catalytic Mukaiyama aldol couplings for polyketide fragment assembly, including chiral Lewis acid and organocatalytic control of multiple stereocenters.",named reactions_351.jpg
p300,300,MYERS ASYMMETRIC ALKYLATION,Importance; Mechanism,canonical_overview,Myers Asymmetric Alkylation,Myers Asymmetric Alkylation|Myers asymmetric alkylation,Overview page for the Myers asymmetric alkylation describing highly diastereoselective alpha-alkylation of pseudoephedrine-derived amide enolates to access optically active carboxylic-acid derivatives and related products.,"Key concepts: pseudoephedrine auxiliary-controlled alkylation, LiCl-assisted enolate generation, broad alkyl halide scope, high alpha-face selectivity, and downstream conversion of alkylated amides into acids, aldehydes, or alcohols.",named reactions_352.jpg
p301,301,MYERS ASYMMETRIC ALKYLATION,Synthetic Applications,application_example,Myers Asymmetric Alkylation,Myers Asymmetric Alkylation|Myers asymmetric alkylation,"Application page for the Myers asymmetric alkylation featuring borrelidin, amphidinolide T1, (-)-dictyostatin, and (+)-kalkitoxin assembled through pseudoephedrine-auxiliary-controlled alpha-alkylation.","Examples emphasize installation of remote stereocenters in macrocyclic and lipophilic natural products using auxiliary-directed alkylation followed by hydrolysis, reduction, or oxidation sequences.",named reactions_353.jpg
p302,302,NAGATA HYDROCYANATION,Importance; Mechanism,canonical_overview,Nagata Hydrocyanation,Nagata Hydrocyanation|Nagata hydrocyanation,Overview page for the Nagata hydrocyanation describing conjugate addition of cyanide to activated alkenes or enones using dialkylaluminum cyanides or HCN/AlX3 combinations.,"Key concepts: 1,4-addition of cyanide to alpha,beta-unsaturated ketones and related acceptors, use of Et2AlCN or HCN/AlEt3, strong solvent and Lewis-acid effects, and hydrolysis to beta-cyano carbonyl compounds.",named reactions_354.jpg
p303,303,NAGATA HYDROCYANATION,Synthetic Applications,application_example,Nagata Hydrocyanation,Nagata Hydrocyanation|Nagata hydrocyanation,"Application page for the Nagata hydrocyanation featuring (+)-scopadulcic acid B, (+)-3a-acetoxy-7,16-seco-trinerva-7,11-dien-15b-ol, and the ABC carbon skeleton of radarins assembled through conjugate cyanide addition to enones.","Examples emphasize hydrocyanation of rigid cyclic and macrocyclic enones, stereocontrol in bicyclic systems, and strategic use of the installed nitrile as a precursor to methyl or carbonyl functionality.",named reactions_355.jpg
