source_label,page_label,page_no,title,page_kind,image_filename
named_reactions_frontmatter_batch6,p12,12,Alkyne Metathesis – Importance and Mechanism,canonical_overview,named reactions_64.jpg
named_reactions_frontmatter_batch6,p13,13,Alkyne Metathesis – Synthetic Applications,application_example,named reactions_65.jpg
named_reactions_frontmatter_batch6,p14,14,Amadori Reaction / Rearrangement – Importance,canonical_overview,named reactions_66.jpg
named_reactions_frontmatter_batch6,p15,15,Amadori Reaction / Rearrangement – Synthetic Applications,application_example,named reactions_67.jpg
named_reactions_frontmatter_batch6,p16,16,Arbuzov Reaction – Importance and Mechanism,canonical_overview,named reactions_68.jpg
named_reactions_frontmatter_batch6,p17,17,Arbuzov Reaction – Synthetic Applications,application_example,named reactions_69.jpg
named_reactions_frontmatter_batch6,p18,18,Arndt-Eistert Homologation – Importance and Mechanism,canonical_overview,named reactions_70.jpg
named_reactions_frontmatter_batch6,p19,19,Arndt-Eistert Homologation – Synthetic Applications,application_example,named reactions_71.jpg
named_reactions_frontmatter_batch6,p20,20,Aza-Claisen Rearrangement – Importance and Mechanism,canonical_overview,named reactions_72.jpg
named_reactions_frontmatter_batch6,p21,21,Aza-Claisen Rearrangement – Synthetic Applications,application_example,named reactions_73.jpg
